MSE,Chi2pvalue,n,N,seed
0.0003833858652848,,5,400,77
0.0001599760396771,,5,400,69
0.0001510319706441,,5,400,13
0.0001031076202457,,5,450,42
0.0003901695892499,,5,450,67
0.0003663000038912,,5,450,77
0.0005071731120249,,5,450,69
0.0001326265629677,,5,450,13
0.0005636873615485,,5,500,42
0.0003452607558452,,5,500,67
0.0007676079891941,,5,500,77
0.0004503987450011,,5,500,69
0.000450360776836,,5,500,13
0.0002633078215332,,5,1000,42
0.0002887025685468,,5,1000,67
0.0001821101284538,,5,1000,77
0.0001070679269722,,5,1000,69
0.0002306763796112,,5,1000,13
0.0001904991632621,,5,1500,42
9.701691821977228e-05,,5,1500,67
0.0005311858072753,,5,1500,77
0.0001363920351931,,5,1500,69
0.0003591639233561,,5,1500,13
0.0001902302771212,,5,2000,42
0.0001178510659155,,5,2000,67
0.0002643973732909,,5,2000,77
6.220675764184208e-05,,5,2000,69
0.0001540045374209,,5,2000,13
3.263247640683595e-05,,5,2500,42
0.0001038569697204,,5,2500,67
0.0002223053930832,,5,2500,77
0.0001403123343852,,5,2500,69
0.0001266217134872,,5,2500,13
0.0001562579736119,,5,3000,42
3.007291993296389e-05,,5,3000,67
7.663270605314978e-05,,5,3000,77
6.46996136648979e-05,,5,3000,69
8.439996246461363e-05,,5,3000,13
0.0001593543333449,,5,3500,42
0.0001198575277806,,5,3500,67
0.0001691739598727,,5,3500,77
7.241959208509388e-05,,5,3500,69
7.433804783973789e-05,,5,3500,13
8.185284939113092e-05,,5,4000,42
7.227189575040198e-05,,5,4000,67
0.0001449309108804,,5,4000,77
9.913602762581606e-05,,5,4000,69
5.686492251196304e-05,,5,4000,13
0.0001010253902551,,5,4500,42
0.000170448440167,,5,4500,67
7.304012282189632e-05,,5,4500,77
7.225109526898654e-05,,5,4500,69
6.609869068097731e-05,,5,4500,13
3.534218727192112e-05,,5,5000,42
5.235882110609621e-05,,5,5000,67
0.0001146448103636,,5,5000,77
8.724338008467568e-05,,5,5000,69
0.0001054788965667,,5,5000,13
9.207878560408827e-05,,5,5500,42
0.0001161436298182,,5,5500,67
8.953918070731593e-05,,5,5500,77
8.674827807746468e-05,,5,5500,69
